Totally Hair Barbie,1992,160,false
Bob Mackie Starlight Splendor Barbie,1991,200,true
Ferrari Barbie,2000,225,true
Monique Lhuillier Bride Barbie,2006,450,true
Athena Barbie,2010,450,true
Pink Splendor Barbie,1996,500,true
Queen Elizabeth I Barbie,2004,500,true
Pink Jubilee Barbie,1989,800,true
Happy Holidays Barbie,1996,800,true
Midnight Tuxedo Barbie,2001,995,true
Dahlia Barbie,2006,1000,true
The Glory of the ’80s Barbie,2017,1000,true
Sales Resistance' I Love Lucy Barbie,2004,1050,true
Devi Kroell Barbie,2010,1070,true
Empress Josephine Barbie,2005,1099,true
Chataine Barbie,2003,1150,true
Marie Antoinette Barbie,2003,1250,true
Barbie Color Magic,1966,1350,true
Trace of Lace Barbie,2005,1350,true
La Belle Epoque Barbie,2012,1395,true
Escada Barbie,1996,1414,true
Calvin Klein Barbie,1996,1414,true
Coach Barbie,2013,1500,true
Faerie Queen Barbie,2004,1500,true
Medusa Barbie,2008,1500,true
Princess of the Korean Court Barbie,2004,1515,true
Barbie Hair Happenin’s,1971,1600,true
Violette Barbie,2005,1750,true
Sparkle Beach Barbie,1995,1999,true
Winter Glamour in White Barbie,2006,2000,true
Chicago Cubs Barbie,1999,2000,true
Cher Barbie,2007,2000,true
NASCAR Official #94 Barbie,1999,2293,true
Barbie Millennium Princess,2000,2500,true
City Smart Silkstone Barbie,2003,2995,true
American Girl Barbie,1966,3500,true
Aqua Queen of the Prom Barbie,2003,5000,true
Carol Spencer Holiday Barbie,1994,5000,true
Karl Lagerfeld Barbie,2014,6000,true
Lorraine Schwartz Barbie,2010,7500,true
Pink Diamond Barbie,2013,15000,true
Barbie in Midnight Red,1965,17091,true
Vintage Barbie,1959,27450,true
De Beers 40th Anniversary Barbie,1999,85000,true
Barbie and the Diamond Castle,2008,94800,true
Barbie By Stefano Canturi,2010,302000,true
Barbie Swirl Ponytail,1967,225,true
Color Magic Barbie,1966,1050,true
Barbie Twist 'n Turn,1967,100,true
Standard Barbie Doll,1967,400,true
Flip Hair Barbie,1970,160,true
Dramatic New Living Barbie,1970,60,true
Live Action Barbie,1971,110,true
Living Barbie,1971,225,true
Sunset Malibu Barbie,1971,200,false
Busy Barbie,1972,210,true
Busy Talking Barbie,1972,450,true
Walk Lively Barbie,1972,270,true
Superstar Barbie and Ken Doll Set,1978,230,true
Growing-Up Skipper Doll,1975,180,true
